nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020985,3511987,0,0,56.86,156.140,slap,not_rebound,not_rush,pp,left,true,faceoff,20,leading_by_1,early_period,p2
2025020985,3512005,0,1,36.36,31.504,snap,not_rebound,not_rush,ev,left,true,faceoff,30,trailing_by_1,middle_period,p2
2025020985,3512011,0,0,36.00,180.000,wrist,not_rebound,not_rush,ev,center,unknown,giveaway,14,leading_by_1,middle_period,p2
2025020056,3440893,0,1,10.44,106.699,wrist,not_rebound,not_rush,ev,left,false,missed-shot,12,tied,late_period,p1
2025020056,3440907,0,0,18.38,22.380,tip,not_rebound,rush_attempt,ev,center,unknown,blocked-shot,8,tied,early_period,p2
2025020056,3440917,0,1,34.13,148.173,snap,not_rebound,not_rush,pp,right,true,giveaway,9,tied,early_period,p2
2025020056,3440923,0,0,26.87,135.000,snap,not_rebound,not_rush,pp,left,false,faceoff,27,tied,early_period,p2
2025020056,3440925,0,1,40.80,162.897,wrist,not_rebound,not_rush,pp,right,false,missed-shot,17,tied,early_period,p2
2025020056,3440929,0,1,8.00,180.000,deflection,not_rebound,rush_attempt,pp,center,unknown,hit,4,tied,early_period,p2
2025020056,3440935,0,0,22.47,147.724,slap,not_rebound,rush_attempt,pp,left,true,blocked-shot,7,tied,early_period,p2
2025020056,3440941,0,1,35.85,157.011,snap,not_rebound,not_rush,ev,right,true,blocked-shot,41,tied,early_period,p2
2025020056,3440949,0,1,40.31,150.255,snap,not_rebound,not_rush,ev,right,false,hit,34,tied,early_period,p2
2025020056,3440954,0,1,9.22,12.529,tip,not_rebound,not_rush,ev,center,unknown,faceoff,7,tied,early_period,p2
2025021260,3556436,0,1,48.02,148.627,wrist,not_rebound,not_rush,ev,right,true,faceoff,38,tied,early_period,p1
2025021260,3556450,1,1,15.30,168.690,wrist,not_rebound,not_rush,ev,center,unknown,giveaway,47,tied,early_period,p1
2025021260,3556465,0,1,123.23,164.949,wrist,not_rebound,not_rush,ev,right,false,faceoff,11,leading_by_1,early_period,p1
2025021260,3556476,0,0,10.77,111.801,wrist,rebound,rush_attempt,ev,left,false,blocked-shot,3,leading_by_1,early_period,p1
2025020985,3512013,0,1,16.16,68.199,snap,not_rebound,not_rush,ev,right,true,missed-shot,33,trailing_by_1,middle_period,p2
2025020985,3512019,0,0,45.18,62.301,snap,not_rebound,not_rush,ev,left,false,faceoff,17,trailing_by_1,middle_period,p2
2025020985,3512035,0,1,9.49,18.435,snap,not_rebound,not_rush,pp,center,unknown,faceoff,56,trailing_by_1,middle_period,p2
2025020985,3512041,0,1,33.60,36.529,snap,not_rebound,not_rush,pp,right,false,faceoff,43,trailing_by_1,middle_period,p2
2025020985,3512049,0,1,49.40,158.629,wrist,not_rebound,not_rush,pp,right,unknown,faceoff,35,leading_by_1,middle_period,p2
